"project","BOP1000_acnB"
"data-type","DNA-seq"
"taxonomy-id","511145"
"strain-description","Î”acnB glucose M9 evolved"
"base-media","M9"
"isolate-type","population"
"ALE-number","10"
"Flask-number","1"
"Isolate-number","0"
"technical-replicate-number","1"
"sample-time","0"
"temperature","37"
"carbon-source","glucose(4)"
"nitrogen-source","NH4Cl(1)"
"phosphorous-source","KH2PO4(3),Na2HPO4(6.8)"
"sulfur-source","MgSO4(0.24)"
"electron-acceptor","O2"
"supplement","NaCl(0.5g/L),trace elements"
"antibiotic","none"
"calcium-source","CaCl2(0.1)"
